env,feature_mode,model_type,rf_rmse,N_AP,grid_m,T_used,feat_dim,causal,epochs,roll_windows
corridor,rss,gcn,1.8117258548736572,4,0.6,60,20,True,1000,"[5, 10, 20]"
corridor,rtt,gcn,0.6002271771430969,4,0.6,60,20,True,1000,"[5, 10, 20]"
corridor,both,gcn,1.2456326484680176,4,0.6,60,38,True,1000,"[5, 10, 20]"
corridor,rss,tcn,1.964325189590454,4,0.6,60,20,True,1000,"[5, 10, 20]"
corridor,rtt,tcn,0.7879639267921448,4,0.6,60,20,True,1000,"[5, 10, 20]"
corridor,both,tcn,1.0297578573226929,4,0.6,60,38,True,1000,"[5, 10, 20]"
corridor,rss,both,1.1628687381744385,4,0.6,60,20,True,1000,"[5, 10, 20]"
corridor,rtt,both,0.5524454116821289,4,0.6,60,20,True,1000,"[5, 10, 20]"
corridor,both,both,0.5905755758285522,4,0.6,60,38,True,1000,"[5, 10, 20]"
office,rss,gcn,1.3237625360488892,5,0.6,60,20,True,1000,"[5, 10, 20]"
office,rtt,gcn,0.5742851495742798,5,0.6,60,20,True,1000,"[5, 10, 20]"
office,both,gcn,0.7401705980300903,5,0.6,60,38,True,1000,"[5, 10, 20]"
office,rss,tcn,1.4399638175964355,5,0.6,60,20,True,1000,"[5, 10, 20]"
office,rtt,tcn,0.6792278289794922,5,0.6,60,20,True,1000,"[5, 10, 20]"
office,both,tcn,0.8774784803390503,5,0.6,60,38,True,1000,"[5, 10, 20]"
office,rss,both,1.2291324138641357,5,0.6,60,20,True,1000,"[5, 10, 20]"
office,rtt,both,0.6896320581436157,5,0.6,60,20,True,1000,"[5, 10, 20]"
office,both,both,0.6339199542999268,5,0.6,60,38,True,1000,"[5, 10, 20]"
lecture_theatre,rss,gcn,2.062190294265747,5,0.6,60,20,True,1000,"[5, 10, 20]"
lecture_theatre,rtt,gcn,0.436977356672287,5,0.6,60,20,True,1000,"[5, 10, 20]"
lecture_theatre,both,gcn,0.6226697564125061,5,0.6,60,38,True,1000,"[5, 10, 20]"
lecture_theatre,rss,tcn,2.0176732540130615,5,0.6,60,20,True,1000,"[5, 10, 20]"
lecture_theatre,rtt,tcn,0.4406245946884155,5,0.6,60,20,True,1000,"[5, 10, 20]"
lecture_theatre,both,tcn,0.5188137888908386,5,0.6,60,38,True,1000,"[5, 10, 20]"
lecture_theatre,rss,both,1.955522894859314,5,0.6,60,20,True,1000,"[5, 10, 20]"
lecture_theatre,rtt,both,0.4834980368614197,5,0.6,60,20,True,1000,"[5, 10, 20]"
lecture_theatre,both,both,0.5050326585769653,5,0.6,60,38,True,1000,"[5, 10, 20]"
building,rss,gcn,1.6328082084655762,13,0.6,120,20,True,1000,"[5, 10, 20]"
building,rtt,gcn,1.0507229566574097,13,0.6,120,20,True,1000,"[5, 10, 20]"
building,both,gcn,0.7596583962440491,13,0.6,120,38,True,1000,"[5, 10, 20]"
building,rss,tcn,1.831845760345459,13,0.6,120,20,True,1000,"[5, 10, 20]"
building,rtt,tcn,1.1617375612258911,13,0.6,120,20,True,1000,"[5, 10, 20]"
building,both,tcn,1.1692155599594116,13,0.6,120,38,True,1000,"[5, 10, 20]"
building,rss,both,1.5320180654525757,13,0.6,120,20,True,1000,"[5, 10, 20]"
building,rtt,both,0.8566428422927856,13,0.6,120,20,True,1000,"[5, 10, 20]"
building,both,both,0.6587355136871338,13,0.6,120,38,True,1000,"[5, 10, 20]"
